src_id,tgt_id,relationship,justification,confidence,round,author_reviewed
5.0-1,5.2.3-2,COMPLEMENTARITY,Recording rationale for non-applicable provisions (303645) and documenting use of poorly-secured external models (304223) both require justification documentation.,2,pilot,True
5.0-1,5.2.3-2.1,COMPLEMENTARITY,Recording justifications for unmet recommendations and risk-assessing external components are distinct steps of one documented risk management process.,2,rare_search,False
5.0-1,5.2.4-1,OVERLAP,Recording justifications for non-applied provisions (303645) overlaps with maintaining clear audit trail of system design (304223).,2,pilot,True
5.0-1,5.2.4-2.1,COMPLEMENTARITY,"Both mandate structured records kept for later scrutiny, but for different purposes: unmet provisions for assurance assessors, data provenance for tracing poisoning.",2,screened,False
5.0-1,5.3.1-3,NO_RELATION,Recording justifications for unmet recommendations is unrelated to supporting users through an incident.,3,rare_search,False
5.1-1,5.2.1-4,COMPLEMENTARITY,Credential uniqueness and protection of sensitive data are distinct objectives that jointly prevent unauthorized access to what the system holds.,2,screened,False
5.1-2A,5.2.2-1,COMPLEMENTARITY,M2M auth-via-PSK guidance (303645) complements AI access control framework securing APIs/models (304223).,1,pilot,True
5.1-3,5.1.3-1.2,NO_RELATION,Cryptographic strength of authentication versus the risk of models carrying unused functionality.,3,screened,False
5.1-3,5.2.3-2,NO_RELATION,Authentication cryptography versus component justification.,3,screened,False
5.1-4,5.1.1-2.1,NO_RELATION,Changing an authentication value versus internal channels for disseminating threat updates to staff.,3,screened,False
5.1-4,5.3.1-2,COMPLEMENTARITY,303645 requires simple credential change UI; 304223 requires accessible end-user guidance. Together they ensure users can manage AI/IoT auth.,2,pilot,True
5.1-5,5.1.3-4,NO_RELATION,Brute-force resistance versus continuous infrastructure risk review.,3,screened,False
5.1-5,5.2.2-2,OVERLAP,"Both mandate brute-force/abuse mitigation: 303645 on device auth, 304223 via API rate limiting against reverse engineering and poisoning.",3,pilot,True
5.10-1,5.4.2-2,EQUIVALENCE,Both call for analysis of collected telemetry/logs for security anomalies. Same security objective.,3,pilot,True
5.11-1,5.3.1-1,COMPLEMENTARITY,Erasure capability and disclosure of how data is used are different obligations that together form user control over personal data.,2,screened,False
5.11-1,5.5.1-1,OVERLAP,"Both mandate secure removal of data assets; A user data on the device at the user's request, B training data and models at transfer of ownership.",2,rare_search,False
5.11-2,5.1.3-1.2,NO_RELATION,Deletion of personal data from services versus risk from superfluous model capability.,3,screened,False
5.11-2,5.2.3-4,NO_RELATION,Deletion of personal data from services versus advance notice of model updates.,3,screened,False
5.11-2,5.5.1-2,OVERLAP,Personal data deletion from associated services (303645) maps to secure data disposal at end-of-life (304223).,2,pilot,True
5.11-3,5.5.1-2,OVERLAP,"Both mandate secure deletion of data; A on user request, B at decommissioning, each specifying obligations the other omits.",3,rare_search,False
5.12-1,5.1.4-1,NO_RELATION,303645 addresses secure installation and maintenance usability; 304223 addresses human oversight of AI systems. The human-factor theme is too general to count as a compliance relationship.,2,pilot,True
5.12-1,5.3.1-2.2,COMPLEMENTARITY,Minimizing security decisions asked of the user and explaining security updates clearly are different obligations serving usable security.,2,screened,False
5.12-2,5.1.3-3,NO_RELATION,User setup guidance versus assurance over external risk owners.,3,screened,False
5.12-2,5.2.1-4,NO_RELATION,Setup guidance for consumers versus access protection for training and test data.,3,screened,False
5.12-2,5.2.2-4,NO_RELATION,Setup guidance versus vulnerability disclosure policy.,3,screened,False
5.12-2,5.2.3-1,NO_RELATION,User setup guidance versus supply chain process.,3,screened,False
5.12-2,5.3.1-1,NO_RELATION,Secure setup guidance and transparency about data handling pursue different objectives.,3,rare_search,False
5.12-3,5.1.3-2,OVERLAP,"Both give users actionable security information; A guidance for checking secure state, B threat descriptions with recommended actions.",2,rare_search,False
5.12-3,5.1.3-4,COMPLEMENTARITY,User-side checking and operator-side continuous monitoring are different obligations that together keep a deployed system in a secure state.,2,screened,False
5.12-3,5.1.4-4,OVERLAP,"Both verify that a deployed system actually carries its intended security controls; A through user-facing checks, B through developer verification.",2,rare_search,False
5.12-3,5.2.2-6,NO_RELATION,User guidance on secure state is unrelated to contractual flow-down to cloud providers.,3,rare_search,False
5.12-3,5.2.4-1.1,OVERLAP,"Both require security-relevant information to be documented for those operating the product; A as user guidance, B as system documentation content.",2,rare_search,False
5.12-3,5.5.1-1,NO_RELATION,Guidance on checking secure state is unrelated to asset disposal at transfer of ownership.,3,rare_search,False
5.13-1A,5.1.3-1.1,NO_RELATION,Input validation is unrelated to threat modelling triggered by configuration change.,3,rare_search,False
5.13-1A,5.2.1-4.1,OVERLAP,UI-level input validation (303645) overlaps with input checks/sanitization for AI models (304223).,3,pilot,True
5.13-1B,5.1.2-4,NO_RELATION,Input validation and due diligence on external components pursue different objectives.,3,rare_search,False
5.13-1B,5.2.1-3,NO_RELATION,Input validation versus disaster recovery planning.,3,screened,False
5.13-1B,5.2.1-4.1,OVERLAP,Network-interface input validation (303645) overlaps with sanitization checks on data/inputs (304223).,3,pilot,True
5.13-1B,5.5.1-1,NO_RELATION,Input validation and asset disposal at transfer of ownership are unrelated controls.,3,rare_search,False
5.2-1,5.1.3-2,COMPLEMENTARITY,An inbound disclosure route and outbound communication of unresolved threats are the two directions of one external security communication capability.,2,screened,False
5.2-1,5.2.2-4,EQUIVALENCE,"Both mandate publication of a clear, accessible vulnerability disclosure policy. Identical security objective.",3,pilot,True
5.2-1,5.2.2-5,SUBSUMPTION_B_BROADER,"303645 requires publishing a vulnerability disclosure policy (one specific process for receiving and acknowledging external vulnerability reports); 304223 requires a full AI incident management plan covering disclosure, detection, response, containment, recovery, and communication. The AI provision subsumes VDP as one component of a comprehensive incident management regime.",2,pilot,True
