src_id,tgt_id,stratum,screening_score,N_stratum,n_stratum,weight,in_pilot,source,batch_x,relationship,justification,confidence,batch_y
5.4-4,5.1.3-4,H,0.8135265700483092,497.0,250.0,1.988,False,sample,0,NO_RELATION,Per-device uniqueness of security parameters versus ongoing infrastructure risk review; no shared objective.,3,0
5.6-8,5.2.4-1.1,M,0.5664251207729469,1490.0,200.0,7.45,False,sample,0,NO_RELATION,Hardware memory access control versus documentation content for training data.,3,0
5.5-5,5.1.2-6,H,0.8937600644122383,497.0,250.0,1.988,False,sample,0,OVERLAP,"Both restrict privileged access to system interfaces; A gates configuration behind authentication, B limits inter-system permissions to what functionality requires.",2,0
5.5-2,5.4.1-3,M,0.5765297906602255,1490.0,200.0,7.45,False,sample,0,NO_RELATION,Vetted cryptographic implementations versus supporting operators through model version changes.,3,0
5.5-3,5.3.1-2.1,L,0.1074476650563606,2981.0,200.0,14.905,False,sample,0,NO_RELATION,Cryptographic agility versus usage guidance on model limitations.,3,0
5.3-1,5.2.1-2,H,0.8353462157809984,497.0,250.0,1.988,False,sample,0,OVERLAP,"Both target controlled evolution of software assets; A requires updateability, B requires version control and asset tracking.",2,0
5.1-5,5.1.3-1.2,M,0.6074476650563607,1490.0,200.0,7.45,False,sample,0,NO_RELATION,Brute-force resistance versus risk from superfluous model capability.,3,0
5.1-4,5.2.2-1,L,0.4763285024154589,2981.0,200.0,14.905,False,sample,0,OVERLAP,"Shared access-control objective; A mandates a credential-change mechanism on the device, B mandates evaluation of organizational access-control frameworks.",2,0
5.5-1,5.5.1-1,H,0.7940418679549113,497.0,250.0,1.988,False,sample,0,NO_RELATION,Cryptographic protection in transit versus secure disposal on ownership transfer.,3,0
5.13-1B,5.1.2-3,M,0.7626811594202898,1490.0,200.0,7.45,False,sample,0,NO_RELATION,Network input validation versus audit-trail documentation.,3,0
5.6-9,5.2.2-3,H,0.9403381642512076,497.0,250.0,1.988,False,sample,0,OVERLAP,"Both concern secure development practice; A names process and toolchain hardening, B names environment separation and least privilege.",2,0
5.3-8,5.2.1-2,M,0.7552334943639292,1490.0,200.0,7.45,False,sample,0,COMPLEMENTARITY,Update timeliness and asset version tracking are distinct objectives that together sustain secure software maintenance.,2,0
5.3-9,5.2.2-5,L,0.2412238325281803,2981.0,200.0,14.905,False,sample,0,NO_RELATION,Update authenticity verification versus incident management and recovery planning.,3,0
