src_id,tgt_id,relationship,justification,confidence,batch,source
5.6-9,5.2.1-2,OVERLAP,"Both mandate secure software development processes including version control; A adds compiler hardening for device software, B adds asset tracking and authentication for AI assets.",3,0,rare_search
5.5-8,5.1.3-1.1,NO_RELATION,"Critical security parameter lifecycle management is a different objective from threat modelling triggered by configuration changes, and B's process text does not name key management.",2,0,rare_search
5.3-11,5.1.3-2,OVERLAP,"Both require informing users about security risks so they can act; A covers update notices, B covers unresolved threats passed down the stakeholder chain.",2,0,rare_search
5.8-3,5.3.1-2.2,NO_RELATION,"Sensor transparency and update notification are different objectives; only the phrase ""accessible way"" is shared.",3,0,rare_search
5.3-11,5.2.3-4,OVERLAP,"Both require notifying users ahead of an update; A adds the mitigated risks, B adds prior notice of model changes specifically.",3,0,rare_search
5.3-14,5.3.1-2.2,OVERLAP,"Both pursue user-facing transparency about update status; A covers devices that receive none, B covers those that do.",2,0,rare_search
5.6-9,5.2.2-6,COMPLEMENTARITY,In-house development processes and contractual flow-down to cloud providers jointly serve securing the software supply chain.,2,0,rare_search
5.4-4,5.2.4-1.2,OVERLAP,"Both enable authenticity verification of distributed software artefacts; A by unique per-device parameters, B by published cryptographic hashes.",2,0,rare_search
5.8-1,5.1.2-5,OVERLAP,"Both protect sensitive data proportionately to its properties; A mandates transit encryption, B mandates usage and controls matched to data sensitivity.",2,0,rare_search
5.0-1,5.2.3-2.1,COMPLEMENTARITY,Recording justifications for unmet recommendations and risk-assessing external components are distinct steps of one documented risk management process.,2,0,rare_search
5.2-2,5.3.1-3,COMPLEMENTARITY,Timely vulnerability remediation and post-incident user support are distinct duties combining into coordinated vulnerability and incident handling.,2,0,rare_search
5.5-8,5.1.2-4,NO_RELATION,"External component due diligence does not name key or parameter management, and the two obligations share no objective.",3,0,rare_search
5.13-1B,5.1.2-6,COMPLEMENTARITY,Validating inbound data and restricting outbound permissions are different objectives that jointly secure a system's interfaces to other systems.,2,0,rare_search
5.3-13,5.3.1-2.2,OVERLAP,"Both require accessible publication of security support information; A the support period, B the individual security updates.",2,0,rare_search
5.4-4,5.1.2-6,NO_RELATION,Per-device key uniqueness and least-privilege permissions between systems pursue unrelated objectives.,3,0,rare_search
5.6-8,5.2.2-2,NO_RELATION,Hardware memory access control and API rate limiting address different attack surfaces with no shared control.,3,0,rare_search
5.4-4,5.2.1-2,OVERLAP,"Both serve authenticity of software assets; A through unique per-device parameters, B through processes and tools that authenticate assets.",2,0,rare_search
5.6-9,5.2.4-1.1,COMPLEMENTARITY,Secure development practice and the security content of the accompanying documentation are distinct parts of one secure development lifecycle.,2,0,rare_search
5.7-2,5.2.2-2,NO_RELATION,Detecting unauthorized software change on a device is unrelated to rate-limiting an external API.,3,0,rare_search
