error_type,src_id,tgt_id,true_rel,pred_rel,note
FALSE_NEGATIVE,5.1-1,5.2.2-1,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.1-3,5.2.2-1,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.1-5,5.2.2-2,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.1-4,5.3.1-2,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.1-2,5.2.1-4.2,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
WRONG_LABEL,5.2-1,5.2.2-4,EQUIVALENCE,OVERLAP,Pair found but relationship label incorrect
WRONG_LABEL,5.2-2,5.2.2-4,OVERLAP,COMPLEMENTARITY,Pair found but relationship label incorrect
FALSE_NEGATIVE,5.2-3,5.4.2-2,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.2-3,5.2.2-4,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
WRONG_LABEL,5.3-1,5.4.1-1,OVERLAP,COMPLEMENTARITY,Pair found but relationship label incorrect
FALSE_NEGATIVE,5.3-2,5.4.1-1,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.3-3,5.3.1-2,OVERLAP,NO_RELATION,GT pair missed entirely by model
WRONG_LABEL,5.3-4A,5.4.1-1,OVERLAP,COMPLEMENTARITY,Pair found but relationship label incorrect
WRONG_LABEL,5.3-4B,5.4.1-1,OVERLAP,COMPLEMENTARITY,Pair found but relationship label incorrect
FALSE_NEGATIVE,5.3-6A,5.3.1-2,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.3-7,5.4.1-1,OVERLAP,NO_RELATION,GT pair missed entirely by model
WRONG_LABEL,5.3-8,5.4.1-1,OVERLAP,COMPLEMENTARITY,Pair found but relationship label incorrect
FALSE_NEGATIVE,5.3-9,5.2.4-1.2,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.3-10,5.2.4-1.2,OVERLAP,NO_RELATION,GT pair missed entirely by model
WRONG_LABEL,5.3-11,5.3.1-2.2,EQUIVALENCE,COMPLEMENTARITY,Pair found but relationship label incorrect
FALSE_NEGATIVE,5.3-12,5.3.1-2.2,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.3-14,5.4.1-1.1,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.3-15A,5.4.1-1.1,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.4-1,5.2.1-4.2,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.4-1,5.2.1-4,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.4-3,5.2.2-1,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.4-4,5.2.1-4.2,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.5-1,5.2.2-1,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.5-4,5.2.2-1,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.5-5,5.2.2-1,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.5-6,5.2.1-4.2,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.5-7,5.2.2-1,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.5-8,5.2.4-1,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.6-1,5.2.2-1,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.6-2,5.2.2-2,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.6-4A,5.2.2-3,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.6-5,5.1.3-1.2,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.6-6,5.1.3-1.2,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
WRONG_LABEL,5.6-7,5.1.2-6,OVERLAP,COMPLEMENTARITY,Pair found but relationship label incorrect
FALSE_NEGATIVE,5.6-7,5.2.2-3,OVERLAP,NO_RELATION,GT pair missed entirely by model
WRONG_LABEL,5.6-9,5.2.3-1,OVERLAP,COMPLEMENTARITY,Pair found but relationship label incorrect
FALSE_NEGATIVE,5.6-9,5.1.1-2.2,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.7-1,5.2.4-1.2,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.7-2,5.4.2-2,OVERLAP,NO_RELATION,GT pair missed entirely by model
FALSE_NEGATIVE,5.7-2,5.2.1-3.1,COMPLEMENTARITY,NO_RELATION,GT pair missed entirely by model
WRONG_LABEL,5.8-1,5.2.1-4,OVERLAP,COMPLEMENTARITY,Pair found but relationship label incorrect
WRONG_LABEL,5.8-2,5.2.1-4,OVERLAP,COMPLEMENTARITY,Pair found but relationship label incorrect
